序号,技能名,工作设施,产物限定,干员,需求精英,效率值,游戏原文
53,笑靥如春,控制中枢,,冰酿,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
54,金盏花诗会,控制中枢,,薇薇安娜,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
55,捍卫之道,控制中枢,,红隼,精2,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
56,博识生手,控制中枢,,Mon3tr,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
57,点滴关照,控制中枢,,电弧,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
58,总工程师,控制中枢,,可露希尔,精0,,进驻控制中枢时，控制中枢内所有干员的心情每小时恢复+0.05
59,魔王传承,控制中枢,,魔王,精0,,当与阿米娅一起进驻控制中枢时，自身和阿米娅心情每小时恢复+0.05
60,“未完的故事”,控制中枢,,魔王,精2,,当与阿米娅一起进驻控制中枢时，自身和阿米娅心情每小时恢复+0.1
61,互为半身,控制中枢,,若叶睦,精2,,当与丰川祥子一起进驻控制中枢时，消除自身心情消耗的影响
62,巴别塔之帜,控制中枢,,维什戴尔,精2,,进驻控制中枢时，其他设施内处于工作状态的干员心情每小时恢复+0.1，当魔王进驻中枢时额外+0.1（与控制中枢加成有特殊比较规则）
63,公事公办,控制中枢,,玛恩纳,精2,,进驻控制中枢时，部分设施内处于工作状态的干员心情每小时恢复+0.1；同时控制中枢内部分技能可以为其他设施内处于工作状态的干员额外提供心情恢复
64,红松的骑士,控制中枢,,焰尾,精2,,进驻控制中枢时，每个进驻在制造站的红松骑士团干员，作战记录类配方的生产力+10%，贵金属类配方的生产力-10%
65,我寻思能行,控制中枢,,森蚺,精2,,进驻控制中枢时，如果Lancet-2进驻在发电站，发电站额外+2（仅影响设施数量）
66,丰富工作经验,控制中枢,,丰川祥子,精0,,进驻控制中枢时，所有生产贵金属类配方的制造站生产力+0.5%，每有20点热情值，所有生产贵金属类配方的制造站生产力+0.5%
67,丰富工作经验,控制中枢,,丰川祥子,精2,,进驻控制中枢时，所有生产贵金属类配方的制造站生产力+1%，每有20点热情值，所有生产贵金属类配方的制造站生产力+1%
68,烛骑士微光,控制中枢,,薇薇安娜,精2,,进驻控制中枢时，每个进驻在制造站的骑士干员生产力+7%
69,最高权限,控制中枢,,凯尔希,精2,,进驻控制中枢时，所有制造站生产力+2%（同种效果取最高）
70,最高权限,控制中枢,,Mon3tr,精2,,进驻控制中枢时，所有制造站生产力+2%（同种效果取最高）
71,权变,控制中枢,,望,精0,,进驻控制中枢时，若外势大于等于实地，所有贸易站订单效率+7%；若实地大于外势，所有制造站生产力+2%（同种效果取最高）
72,以身作则,控制中枢,,麒麟R夜刀,精2,,当与怪物猎人小队干员进驻控制中枢一起工作时，所有制造站生产力+2%（同种效果取最高）
73,共事情谊,控制中枢,,斩业星熊,精2,,当与龙门近卫局干员进驻控制中枢一起工作时，所有制造站生产力+3%（同种效果取最高）
74,超频,控制中枢,,布丁,精1,,进驻控制中枢时，如果有2台以上作业平台进驻在发电站，则所有制造站生产力+2%（同种效果取最高）
75,秘传交涉术,控制中枢,,火龙S黑角,精2,,当与怪物猎人小队干员进驻控制中枢一起工作时，所有贸易站订单效率+7%（同种效果取最高）
76,家族认可,控制中枢,,八幡海铃,精2,,进驻控制中枢时，每个进驻在贸易站的叙拉古干员，订单获取效率+5%
77,商业版图,控制中枢,,凛御银灰,精0,,进驻控制中枢时，每个存在3名谢拉格干员的贸易站，订单获取效率+10%
78,精密计算,控制中枢,,灵知,精2,,进驻控制中枢时，每个进驻在贸易站的谢拉格干员，订单获取效率-15%，订单上限+6
79,运筹好手,控制中枢,,戴菲恩,精2,,进驻控制中枢时，同一贸易站中，每有1名格拉斯哥帮干员，订单获取效率+10%
80,合作协议,控制中枢,,阿米娅,精0,,进驻控制中枢时，所有贸易站订单效率+7%（同种效果取最高）
81,大小姐,控制中枢,,诗怀雅,精0,,进驻控制中枢时，所有贸易站订单效率+7%（同种效果取最高）
82,朝气蓬勃,控制中枢,,明椒,精0,,进驻控制中枢时，所有贸易站订单效率+7%（同种效果取最高）
83,情报主脑,控制中枢,,阿斯卡纶,精2,,进驻控制中枢时，所有贸易站订单效率+7%（同种效果取最高）
84,S.W.E.E.P.主管,控制中枢,,阿斯卡纶,精0,,进驻控制中枢时，如训练室有干员在进行技能专精，则该干员的专精技能训练速度+5%（同种效果取最高）
85,断金之交,控制中枢,,烛煌,精0,,进驻控制中枢时，如训练室有干员在进行技能专精，则该干员的专精技能训练速度+5%（同种效果取最高）
86,下城人脉,控制中枢,,斩业星熊,精0,,进驻控制中枢时，如训练室有干员在进行技能专精，则该干员的专精技能训练速度+5%（同种效果取最高）
87,世事洞明,控制中枢,,老鲤,精2,,进驻控制中枢时，会客室线索搜集速度+25%（同种效果取最高）
88,期冀之汇,控制中枢,,魔王,精2,,进驻控制中枢时，会客室线索搜集速度+15%（同种效果取最高）
89,无声共鸣,宿舍,,塑心,精0,,进驻宿舍时，该宿舍内每有1名干员，无声共鸣+1
90,患难之交,宿舍,,菲亚梅塔,精0,,进驻宿舍时，如果自身为满心情，则与当前宿舍前一位进驻的干员互换心情
91,寻同路人,宿舍,,斥罪,精2,,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.15，同时每个招募位（不包含初始招募位）额外+0.05恢复效果（叠加后的最终值同种效果取最高）
92,无瑕心·α,宿舍,,隐德来希,精0,,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.1，同时每个招募位（不包含初始招募位）额外+0.05恢复效果（叠加后的最终值同种效果取最高）
93,无瑕心·β,宿舍,,隐德来希,精2,,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.1，同时每个招募位（不包含初始招募位）额外+0.1恢复效果（叠加后的最终值同种效果取最高）
94,柔和微光·α,宿舍,,流明,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.1，同时每有1间发电站，则恢复效果额外+0.05（叠加后的最终值同种效果取最高）
95,柔和微光·β,宿舍,,流明,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15，同时每有1间发电站，则恢复效果额外+0.05（叠加后的最终值同种效果取最高）
96,自律,宿舍,,菲亚梅塔,精0,,进驻宿舍时，自身心情每小时恢复+2，同时无法获得其他来源提供的心情恢复效果
97,无词颂歌,宿舍,,塑心,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.2，每有5点无声共鸣，该宿舍内所有干员的心情每小时恢复额外+0.01（同种效果取最高）
98,调众口,宿舍,,余,精0,,进驻宿舍时，基建内（不包含副手及活动室使用者）每名岁干员为该宿舍内所有干员心情每小时恢复速度+0.06（最多生效4名，且同种效果取最高）
99,睡前必听故事,宿舍,,响石,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
100,死前必做清单,宿舍,,响石,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15，同时当前宿舍每级为恢复效果额外+0.02（叠加后的最终值同种效果取最高）
101,慵懒,宿舍,,安比尔；杜林,精0,,进驻宿舍时，自身心情每小时恢复-0.1，该宿舍内所有干员的心情每小时恢复+0.2（同种效果取最高）
102,嗜睡,宿舍,,杜林,精0,,进驻宿舍时，自身心情每小时恢复-0.1，该宿舍内所有干员的心情每小时恢复+0.25（同种效果取最高）
103,超脱,宿舍,,赫拉格,精0,,进驻宿舍时，自身心情每小时恢复+0.55
104,挣脱,宿舍,,赫拉格,精1,,进驻宿舍时，该宿舍内除自身以外所有干员的心情每小时恢复+0.1（同种效果取最高）
105,解脱,宿舍,,赫拉格,精2,,进驻宿舍时，自身心情每小时恢复+0.55，该宿舍内所有干员的心情每小时恢复+0.1（同种效果取最高）
106,牧歌,宿舍,,风笛,精0,,进驻宿舍时，自身心情每小时恢复+0.55，该宿舍内所有干员的心情每小时恢复+0.1（同种效果取最高）
107,天生丽质,宿舍,,缪尔赛思,精0,,进驻宿舍时，自身心情每小时恢复+0.55，该宿舍内所有干员的心情每小时恢复+0.1（同种效果取最高）
108,“归乡”,宿舍,,远牙,精0,,进驻宿舍时，自身心情每小时恢复+0.55，该宿舍内所有干员的心情每小时恢复+0.1（同种效果取最高）
109,火山温泉浴,宿舍,,纯烬艾雅法拉,精2,,进驻宿舍时，基建内（不包含副手及活动室使用者）每名行医干员为该宿舍内所有干员心情每小时恢复速度+0.06（最多生效4名，且同种效果取最高）
110,小酌怡情,宿舍,,冰酿,精2,,进驻宿舍时，使心情未满的宿舍成员，平均分配到总计每小时心情恢复+0.8的加成（该技能对单名干员和多名干员生效时，同种效果分别取最高）
111,资深料理人,宿舍,,森西,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15，如果目标是莱欧斯小队干员，则恢复效果额外+0.15（同种效果取最高）
112,芬芳疗养·β,宿舍,,刺玫,精2,,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.15，同时该宿舍内心情18以下的干员恢复效果额外+0.1（同种效果取最高）
113,净化呼吸,宿舍,,撷英调香师,精2,,进驻宿舍时，该宿舍内心情20以下的干员恢复效果额外+0.1（同种效果取最高）
114,倾听者,宿舍,,波卜,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
115,倾谈者,宿舍,,波卜,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.2；同时该宿舍每有1名心情未满的干员，则恢复效果额外+0.01（同种效果取最高）
116,鼓舞,宿舍,,四月；夜莺,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.1（同种效果取最高）
117,小提琴独奏,宿舍,,阿米娅,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
118,偶像,宿舍,,空,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
119,沁人心脾,宿舍,,波登可,精1,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
120,领袖,宿舍,,凛冬；推进之王；桃金娘,精0；精1,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
121,大锅饭·α,宿舍,,温米,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
122,静心仪式·α,宿舍,,妮芙,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
123,冬将军,宿舍,,凛冬,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.2（同种效果取最高）
124,提灯女神,宿舍,,夜莺,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.2（同种效果取最高）
125,狮心王,宿舍,,推进之王,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.2（同种效果取最高）
126,芬芳疗养·α,宿舍,,刺玫,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
127,大锅饭·β,宿舍,,温米,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.2（同种效果取最高）
128,乡野笛音,宿舍,,小满,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
129,利他主义,宿舍,,医生,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.2（同种效果取最高）
130,静心仪式·β,宿舍,,妮芙,精2,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.2（同种效果取最高）
131,明星效应,宿舍,,遥,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
132,沉静心灵,宿舍,,撷英调香师,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.15（同种效果取最高）
133,森西大食堂,宿舍,,森西,精2,,进驻宿舍时，当前宿舍每级提供1层魔物料理
134,梦境呓语,宿舍,,爱丽丝,精2,,进驻宿舍时，每1层梦境转化为1点感知信息
135,琴键漫步,宿舍,,车尔尼,精2,,进驻宿舍时，每1个小节转化为1点感知信息
136,睡前故事,宿舍,,爱丽丝,精0,,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.1（同种效果取最高），同时当前宿舍每级提供1层梦境
137,慢板行歌,宿舍,,车尔尼,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.65（同种效果取最高），同时当前宿舍每级提供1个小节
138,“独处”,宿舍,,芳汀,精1,,进驻宿舍时，自身心情每小时恢复+0.7；如果该宿舍内有其他干员，则每人额外为自身心情每小时恢复+0.05
139,赋格融汇,宿舍,,协律,精1,,进驻宿舍时，自身心情每小时恢复+0.7；如果该宿舍内有其他干员，则每人额外为自身心情每小时恢复+0.05
140,独处,宿舍,,克洛丝；和弦；安哲拉；幽灵鲨；斯卡蒂；灰喉；艾丝黛尔；苇草；霜叶,精0；精1；精2,,进驻宿舍时，自身心情每小时恢复+0.7
141,幼狼情性,宿舍,,子月,精0,,进驻宿舍时，自身心情每小时恢复+0.7
142,狂热,宿舍,,幽灵鲨,精2,,进驻宿舍时，自身心情每小时恢复+0.85
143,麻烦回避者,宿舍,,安哲拉,精2,,进驻宿舍时，自身心情每小时恢复+0.85
144,悲歌,宿舍,,斯卡蒂,精2,,进驻宿舍时，自身心情每小时恢复+1
145,隐形的美食家,宿舍,,伊桑,精1,,进驻宿舍时，自身心情每小时恢复+0.75
146,难得休憩,宿舍,,裂响,精0,,进驻宿舍时，自身心情每小时恢复+0.55
147,活泼,宿舍,,卡缇；杰克；米格鲁,精0；精1,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.2（同种效果取最高）；同时自身心情每小时恢复+0.4
148,探险家的热情,宿舍,,崖心,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.25（同种效果取最高）；同时自身心情每小时恢复+0.5
149,烘焙,宿舍,,慕斯,精1,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.3（同种效果取最高）；同时自身心情每小时恢复+0.3
150,烹饪,宿舍,,古米；暴行,精1；精2,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.35（同种效果取最高）；同时自身心情每小时恢复+0.35
151,Give me five,宿舍,,酸糖,精1,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.35（同种效果取最高）；同时自身心情每小时恢复+0.35
152,和谐,宿舍,,泡普卡,精1,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.4（同种效果取最高）；同时自身心情每小时恢复+0.2
153,喀兰圣女,宿舍,,初雪,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.5（同种效果取最高）；同时自身心情每小时恢复+0.25
154,使徒,宿舍,,临光,精2,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.5（同种效果取最高）；同时自身心情每小时恢复+0.25
155,甜甜圈派对,宿舍,,隐现,精2,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.4（同种效果取最高）；同时自身心情每小时恢复+0.4
156,医疗服务,宿舍,,Lancet-2,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.65（同种效果取最高）
157,疗养,宿舍,,波登可,精1,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.65（同种效果取最高）
158,善解人意,宿舍,,安赛尔；末药；波登可；流星；芙蓉；闪灵,精0；精1,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.55（同种效果取最高）
159,慈悲,宿舍,,闪灵,精2,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.75（同种效果取最高）
160,天启,宿舍,,断罪者,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.7（同种效果取最高）
161,维多利亚文学,宿舍,,琴柳,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.7（同种效果取最高）
162,心理疏导,宿舍,,蜜莓,精2,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.7（同种效果取最高）
163,恩典颂歌,宿舍,,聆音,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.7（同种效果取最高）
164,善解人意,宿舍,,小满,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.55（同种效果取最高）
165,沏茶,宿舍,,黑,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.55（同种效果取最高），如果目标是锡兰，则恢复效果额外+0.45
166,烤肉大师,宿舍,,特米米,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.55（同种效果取最高），如果目标是嘉维尔，则恢复效果额外+0.45
167,毒剂师之友,宿舍,,深靛,精0,,进驻宿舍时，使该宿舍内心情未满的某个干员每小时恢复+0.55（同种效果取最高），如果目标是蓝毒，则恢复效果额外+0.45
168,降生于冰寒,宿舍,,寒檀,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.55（同种效果取最高），如果目标是萨米干员，则恢复效果额外+0.45
169,圣城趣事通,宿舍,,新约能天使,精2,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.55（同种效果取最高），如果目标是拉特兰干员，则恢复效果额外+0.45
170,天生乐天派,宿舍,,新约能天使,精0,,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干员每小时恢复+0.55（同种效果取最高）
171,头号陪练,宿舍,,摩根,精0,,进驻宿舍时，推进之王对该宿舍中格拉斯哥帮干员恢复效果额外+0.3
172,内幕,办公室,,山,精0,20,进驻人力办公室时，人脉资源的联络速度+20%，每产生1次联络次数，增加黑钢国际线索的概率（工作时长和招募位影响概率）
173,人望,办公室,,早露,精2,20,进驻人力办公室时，人脉资源的联络速度+20%，每产生1次联络次数，增加乌萨斯学生自治团线索的概率（工作时长和招募位影响概率）
174,旧识新交,办公室,,戴菲恩,精0,20,进驻人力办公室时，人脉资源的联络速度+20%，每产生1次联络次数，增加格拉斯哥帮线索的概率（工作时长和招募位影响概率）
175,天灾信使·α,办公室,,月禾,精0,30,进驻人力办公室时，人脉资源的联络速度+30%
176,洞悉人心,办公室,,月禾,精2,35,进驻人力办公室时，人脉资源的联络速度+35%，同时每个招募位（不包含初始招募位）额外+5%会客室线索搜集速度
177,好事之徒,办公室,,乌有,精0,35,进驻人力办公室时，人脉资源的联络速度+35%，同时每个招募位（不包含初始招募位）额外+5%会客室线索搜集速度
178,交游广阔,办公室,,隐现,精0,30,进驻人力办公室时，人脉资源的联络速度+30%，同时每个招募位（不包含初始招募位）额外+5%会客室线索搜集速度
179,“号外！”,办公室,,乌啾,精0,30,进驻人力办公室时，人脉资源的联络速度+30%，同时每个招募位（不包含初始招募位）额外+5%会客室线索搜集速度
180,街头法则,办公室,,乌啾,精2,35,进驻人力办公室时，人脉资源的联络速度+35%，同时每个招募位（不包含初始招募位）额外+5%会客室线索搜集速度
181,人事管理·α,办公室,,巡林者,精0,20,进驻人力办公室时，人脉资源的联络速度+20%
182,人事管理·β,办公室,,伊内丝,精0,35,进驻人力办公室时，人脉资源的联络速度+35%
183,天灾信使·α,办公室,,普罗旺斯,精0,30,进驻人力办公室时，人脉资源的联络速度+30%
184,天灾信使·β,办公室,,普罗旺斯；艾雅法拉,精2,45,进驻人力办公室时，人脉资源的联络速度+45%
185,节目邀约,办公室,,遥,精2,45,进驻人力办公室时，人脉资源的联络速度+45%
