skill_name,description,operators
红松骑士团·β,进驻制造站时，生产力+25%,灰毫；远牙；野鬃
莱茵科技·β,进驻制造站时，生产力+25%,多萝西；娜斯提；星源；溯光星源；白面鸮；赫默
标准化·β,进驻制造站时，生产力+25%,史都华德；杰西卡；水月；海沫；罗比菈塔；调香师；香草
探险者,进驻制造站时，仓库容量上限+16，心情每小时消耗-0.25,石棉
收纳达人,进驻制造站时，仓库容量上限+16，心情每小时消耗-0.25,钼铅
特立独行,进驻制造站时，生产力+25%，仓库容量上限-12，心情每小时消耗+0.25,石棉
麻烦制造者,进驻制造站时，生产力+25%，仓库容量上限-12，心情每小时消耗+0.25,泡普卡
急性子,进驻制造站后，生产力首小时+20%，此后每小时+1%，最终达到+25%,芬
延时摄影,进驻制造站后，生产力首小时+15%，此后每小时+2%，最终达到+25%,稀音
慢性子,进驻制造站后，生产力首小时+15%，此后每小时+2%，最终达到+25%,克洛丝
红松骑士团·α,进驻制造站时，生产力+15%,灰毫；远牙；野鬃
莱茵科技·α,进驻制造站时，生产力+15%,星源；白面鸮；赫默
磐蟹·豆豆,进驻制造站时，生产力+15%,豆苗
标准化·α,进驻制造站时，生产力+15%,历阵锐枪芬；夜刀；洋灰；流星；石英；褐果
仿生海龙,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个发电站为当前制造站+15%的生产力,温蒂
自动化·β,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个发电站为当前制造站+10%的生产力,森蚺；温蒂
意识兼容,进驻制造站时，当前制造站内所有莱茵科技类、红松骑士团类技能也全都视作标准化类技能,海沫
自动化·α,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个发电站为当前制造站+5%的生产力,异客；掠风；森蚺
源石技艺理论应用,进驻制造站时，当前制造站内每个莱茵科技类技能为自身+5%的生产力,多萝西
意识协议,进驻制造站时，当前制造站内每个标准化类技能为自身+5%的生产力,水月
可靠的随从们,进驻制造站时，仓库容量上限+8，生产力+5%，同时每有1个木天蓼，则生产力+1%,泰拉大陆调查团
仓库整备·β,进驻制造站时，仓库容量上限+10，生产力+10%,蛇屠箱；黑角
仓库整备·α,进驻制造站时，仓库容量上限+6，生产力+10%,卡缇；米格鲁
重聚时光,进驻制造站时，当前制造站内每个A1小队干员为自身+10%的生产力,历阵锐枪芬
勘探背包,进驻制造站时，当前制造站内每个莱茵科技类技能为自身+5的仓库上限容量,溯光星源
工匠精神·β,进驻制造站时，生产力-5%，仓库容量上限+19，心情每小时消耗-0.25,火神
工匠精神·α,进驻制造站时，生产力-5%，仓库容量上限+16，心情每小时消耗-0.15,火神
合理利用,进驻制造站时，生产作战记录类配方时，仓库容量上限+4,圣约送葬人
“可靠”助手,进驻制造站时，生产力-20%，仓库容量上限+17，心情每小时消耗-0.25,贝娜
剪辑·β,进驻制造站时，生产作战记录类配方时，仓库容量上限+15,卡达
剪辑·α,进驻制造站时，生产作战记录类配方时，仓库容量上限+12,稀音
模糊视线,进驻制造站时，生产力+30%，自身每有4点心情落差，生产力-5%,铅踝
窗外雪啸,进驻制造站时，当自身心情落差大于12时，生产力+10%，仓库容量+6,铅踝
午休好去处,进驻制造站时，仓库容量上限+10，心情每小时消耗-0.25,Miss.Christine
无畏豪情,进驻制造站时，仓库容量上限+10，心情每小时消耗-0.25,娜仁图亚
囤积者,进驻制造站时，仓库容量上限+10，心情每小时消耗-0.25,泡泡
大就是好！,进驻制造站时，当前制造站内干员根据自身提升的仓库容量提供一定的生产力。提升16格以下的，每格仓库容量提供1%生产力；提升大于16格的，每格仓库容量提供3%生产力（无法与回收利用叠加，且优先生效）,泡泡
智慧之境,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25,帕拉斯
“等不及”,进驻制造站后，生产力首小时+20%，此后每小时+1%，最终达到+25%,刻俄柏
“都想要”,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25,刻俄柏
磐蟹·阿盘,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25,豆苗
回收利用,进驻制造站时，当前制造站内干员提升的每格仓库容量，提供2%生产力,红云
拾荒者,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25,清道夫；红云
Vlog,进驻制造站时，生产作战记录类配方时，心情每小时消耗-0.25,卡达
战阵领袖,进驻制造站时，作战记录类配方的生产力+30%,怒潮凛冬
情同手足,进驻制造站时，作战记录类配方的生产力+30%，当与乌萨斯学生自治团干员在同一个制造站时，作战记录类配方的生产力额外+10%,怒潮凛冬
患难拍档,进驻制造站时，若古米在贸易站，则作战记录类配方的生产力+35%,烈夏
火山学家,进驻制造站时，源石类配方的生产力+35%,艾雅法拉
源石研究,进驻制造站时，源石类配方的生产力+35%,锡兰
地质学·β,进驻制造站时，源石类配方的生产力+35%,地灵
源石工艺·β,进驻制造站时，源石类配方的生产力+35%,炎熔
地质学·α,进驻制造站时，源石类配方的生产力+30%,薄绿；褐果
源石工艺·α,进驻制造站时，源石类配方的生产力+30%,月见夜
春雷响，万物长,进驻制造站时，当前制造站内所有干员心情每小时消耗-0.1,黍
团队精神,进驻制造站时，消除当前制造站内所有干员自身心情消耗的影响,槐琥
